location,image,gt_count,pred_count,true_positive_count,false_positive_count,false_negative_count,max_false_positive_confidence,background_false_alarm
Evo,Evo\evoDJI_0001_frame165.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame166.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame167.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame168.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame169.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame17.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame170.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame171.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame172.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame173.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame174.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame175.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame176.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame177.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame178.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame179.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame18.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame180.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame181.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame182.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame183.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame184.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame185.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame186.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame187.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame188.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame189.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame19.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame190.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame191.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame192.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame193.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame194.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame195.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame196.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame197.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame198.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame199.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame2.jpg,1,1,0,1,1,0.649930,False
Evo,Evo\evoDJI_0001_frame20.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame200.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame201.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame202.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame203.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame204.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame205.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame206.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame207.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame208.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame209.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame21.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame22.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame221.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame222.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame223.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame224.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame225.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame226.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame227.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame228.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame229.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame23.jpg,0,1,0,1,0,0.837605,True
